"","CCA1","CCA2","CCA3","CCA4"
"1",18.1574260475847,4.26311730054898,2.52908285314965,1.65151922726235
"Year",0.624091988694268,0.559262117054277,0.332348170708285,0.273663105472861
"SMB_2",-0.228049991493862,-0.0100222236043441,0.657077360203256,-0.393066316361673
"SMB_1",-0.38363389392916,0.311748636107534,0.382700866150293,0.333607087362237
"C",-0.402771330563354,0.405600746213932,-0.295374425917689,-0.419834142404122
"CW",0.622711260825526,-0.146893927765594,-0.284833722507335,0.0354761626317282
"EV",0.0251824659462865,-0.336158486053518,0.5842335225965,0.274011932763386
"FW",-0.725202861638657,0.24553258166255,0.26016937008113,0.221768696523688
"O",-0.499930142929013,-0.105231990793612,0.139242938825524,0.389430040044829
"SV",-0.153154862015598,-0.219231798607647,0.50158383573476,0.341182436008035
"CC_1",-0.325897762691064,-0.303682755630087,0.0937325356217568,-0.0128962111961514
"CC_2",-0.339482391715593,0.272785805784222,0.0132106788492739,-0.210987144330215
"MM_1",0.859080192444986,-0.137979369707943,-0.0189822674004979,0.189380462449817
"MM_2",0.628677741161254,0.0179213048003683,-0.046184289534289,-0.0627970422574945
"WS_1",-0.472317322749092,0.0749873851696754,-0.396981218728647,0.166964128031144
"WS_2",-0.124623800124594,0.355383794506483,0.317440436198547,0.258475782835516
