"","CCA1","CCA2","CCA3","CCA4"
"1",18.1574260475847,4.26311730054898,2.52908285314965,1.65151922726235
"SMB_2",0.712148859439943,0.280895183128984,0.179002832856157,0.481837839094791
"SMB_1",0.608059682683527,0.251304418458426,-0.0105813876552031,0.0517705981560961
"Year",0.57054056772179,-0.0454098405362768,-0.386768678392289,-0.191504453755383
"B",0.53259246225309,0.250165501827316,0.330797616983495,-0.127252847545436
"C",0.385349132579867,0.21756704203876,0.0383220554915989,-0.415670270735299
"CW",-0.35820525818887,0.665340937304756,-0.511365507089915,-0.14593030598597
"EV",-0.513940853593812,0.604338839389875,-0.156192926363223,0.117589948860984
"FW",0.23590368700221,0.180262494692221,0.0703177296776261,-0.519975639379208
"O",-0.239009149933717,-0.107581817584123,-0.707962578662129,0.157877301710041
"SV",-0.194740318713475,0.245653514880565,-0.427812022023636,-0.103317747209968
"CC_1",-0.678407924022565,-0.309436865645907,0.199953166723239,-0.00235781299244035
"CC_2",-0.419323263077778,0.176885513483715,-0.0783693492807607,-0.169257013277004
"CS_1",-0.730213360063114,0.19673591684494,-0.00833417609881055,0.0559713173410066
"CS_2",-0.34855585902638,0.678993366766878,-0.565864821490517,-0.135749176452344
"MM_1",-0.204276972773287,-0.864862191284289,-0.305019011089901,0.0951672197009179
"MM_2",-0.268460851173166,-0.639259719719571,-0.384751855660489,0.162112018978371
"WS_1",-0.146574724687673,0.0303901418945234,0.190995892767294,-0.171866818163636
"WS_2",0.178898794587456,-0.0941272358931207,0.158901023497009,-0.283744185163369
"PS_1",0.335911648892306,0.00176892275639835,-0.0559557890006506,-0.0121649499276488
"PS_2",0.59608531514323,0.121299113280954,0.223485030511665,0.207003985914984
