"","rownames","BB","BND","CC","CS","LLS","LT","MM","NF","NRD","PS","RS","RT","RWF","SMB","SS","ST","WS"
"1","1998_BEF.LML.1998.001",0.000537313544998131,0,0,0,0,0,0,0,0,0.00523690329546045,0,0,0,0.0283209974576761,0,0.000952380952380952,0.000693913097570838
"2","1998_BEF.LML.1998.001A",0,0,0,0,0,0,0,0,0,0.001388246182323,0,0,0,0.01850994909764,0,0.000925497454881999,0.000925497454881999
"3","1998_BEF.LML.1998.002",0,0,0,0,0,0,0,0,0,0.000499001996007984,0,0,0,0.00376973326075122,0,0.000568181818181818,0
"4","1998_BEF.LML.1998.002A",0,0,0,0,0,0,0,0,0,0.000866300895177592,0,0,0,0.0352295697372221,0,0.00173260179035518,0.000577533930118394
"5","1998_BEF.LML.1998.003",0,0,0,0,0,0,0,0,0,0,0,0.00043630017452007,0,0.00551715540883261,0,0,0
"6","1998_BEF.LML.1998.004",0.000310655483069276,0,0,0,0,0,0,0,0,0,0,0,0,0.00428041913127591,0,0,0.000155327741534638
"7","1998_BEF.LML.1998.005",0.00152021180058563,0,0,0,0,0,0,0,0,0.00311526479750779,0,0,0,0.00758234870384403,0,0,0
"8","1998_BEF.LML.1998.006",0.00105485232067511,0,0.000263713080168776,0,0,0,0.00152406213701762,0,0,0.00835253776872293,0,0.000263713080168776,0,0.0200463689700856,0,0.00422010509557686,0.00067401073963981
"9","1998_BEF.LML.1998.007",0,0,0,0,0.000823740546280546,0,0.000554198767304805,0,0,0.00384916095242699,0,0,0,0.026595249220646,0.000284656988329063,0.00109328232525629,0.000269541778975741
"10","1998_BEF.LML.1998.008",0.000732937823573519,0,0,0,0,0,0.000366166239472721,0,0,0.000732332478945441,0,0,0,0.0344795556286154,0,0.000733543168201596,0
"11","1998_BEF.LML.1998.009",0,0,0,0,0,0,0,0,0,0.0127901745946909,0,0,0,0.0327324959914484,0,0.0035057010511313,0
"12","1998_BEF.LML.1998.010",0,0,0.000137551581843191,0,0,0,0,0,0,0.00192922567446735,0,0,0,0.0332200017974625,0.000137551581843191,0.000137551581843191,0.000550206327372765
"13","1998_BEF.LML.1998.011",0,0,0,0,0,0,0,0,0,0.00185479597244303,0,0,0,0.0211976682564918,0,0.000264970853206147,0.000264970853206147
"14","1998_BEF.LML.1998.012",0.000778008298755187,0,0.000259336099585062,0.000220653133274493,0.000259336099585062,0,0,0,0,0.00635590892610592,0,0,0,0.0254236357044237,0,0.00206324413209157,0.000998661432029679
"15","1998_BEF.LML.1998.013",0.000539531636051133,0,0,0.00289827049092276,0,0,0,0,0,0.00403829627242454,0,0,0,0.0138672252658717,0,0.00181329895799764,0
"16","1998_BEF.LML.1998.014",0.000454545454545455,0,0.000454545454545455,0.000454545454545455,0.00025419420437214,0,0,0,0,0.00536188011276979,0,0,0,0.0141985949993067,0,0.00663285113463049,0
"17","1998_BEF.LML.1998.015",0.000538192283180169,0,0.00107638456636034,0,0.000190331176246669,0,0.000190331176246669,0,0,0.0043974657050085,0,0.000157529930686831,0,0.0158967308851491,0,0.00328827989308833,0.000886053390113669
