"","CC_1","CC_2","LT_1","LT_2","MM_1","MM_2","SMB_1","SMB_2","ST_1","ST_2","WS_1","WS_2"
"2001_",0.0208986415882968,0,0,0,0,0.00208986415882968,0.00522466039707419,0.00208986415882968,0,0.00104493207941484,0.0250783699059561,0.0480668756530825
"2001_BEF.FBL.001",0.0501292824822237,0.00803706097823745,0,0,0.0117862529627236,0.0695862960568843,0.00226244343891403,0.00113122171945701,0.00113122171945701,0.00238095238095238,0.0331609566903685,0.0185735832794656
"2001_BEF.FBL.002",0,0,0,0,0,0,0,0.00268817204301075,0,0,0.102150537634409,0.0752688172043011
"2001_BEF.FBL.003",0.0053475935828877,0,0,0,0,0.0035650623885918,0.0035650623885918,0.0053475935828877,0,0.0017825311942959,0.0855614973262032,0.0623885918003565
"2001_BEF.FBL.004",0.0113636363636364,0.0142045454545455,0,0,0,0.00107758620689655,0.0135188087774295,0.015282131661442,0,0.00391849529780564,0.0153800940438871,0.0448667711598746
"2001_BEF.FBL.005",0.0129533678756477,0,0,0,0,0.00259067357512953,0.0440414507772021,0.0129533678756477,0,0,0,0
"2001_BEF.FBL.006",0,0,0,0,0,0,0.00698315650662351,0.00746268656716418,0,0,0.0100401606425703,0.0140562248995984
"2001_BEF.FBL.007",0.00240189493371055,0.000695410292072323,0,0,0,0.015580275980576,0.00395054754660198,0.00518353610199984,0.000853242320819113,0,0.00695410292072323,0.0179525032397101
"2001_BEF.FBL.008",0.000674763832658569,0,0,0,0,0.00805668016194332,0.00805668016194332,0.00668286099865047,0,0.000674763832658569,0.00266666666666667,0.008
"2001_BEF.FBL.009",0,0,0,0,0.00285714285714286,0.0436609873307121,0,0,0,0.0103014416775885,0.0114285714285714,0.00285714285714286
"2001_BEF.FBL.010",0,0,0,0,0,0.00168918918918919,0.00337837837837838,0.00675675675675676,0,0,0.00675675675675676,0.0118243243243243
"2001_BEF.FBL.011",0.0166125954198473,0.000625,0,0,0,0.0178959923664122,0.00315839694656489,0.000954198473282443,0.00125,0,0.0066793893129771,0.0073043893129771
"2001_BEF.FBL.012",0.0359394703656999,0.00175644028103044,0,0,0.00226986128625473,0.0401999639704558,0.00336876238515583,0,0.00117096018735363,0.00666546568185913,0.00937668888488561,0.00336876238515583
"2001_BEF.FBL.013",0.00682903434326584,0,0,0,0.00226244343891403,0.00226244343891403,0.00230414746543779,0.00226244343891403,0,0.00230414746543779,0.0136163646600079,0.0113539212210939
"2001_BEF.FBL.014",0.0532860996650164,0.00763347463907746,0,0,0.00970859395843832,0.0386787418848012,0.00234192037470726,0.00505439777072896,0,0.00337948003438769,0.0127471615332167,0.00486911926007174
"2002_BEF.FBL.040",0.03,0.00166666666666667,0,0,0.00166666666666667,0.00666666666666667,0,0.00333333333333333,0.01,0,0.025,0.005
"2002_BEF.FBL.041",0.00193798449612403,0.00387596899224806,0,0,0,0,0.00775193798449612,0.00193798449612403,0,0.00387596899224806,0.0193798449612403,0.0135658914728682
"2002_BEF.FBL.042",0.00316455696202532,0,0,0,0,0,0.00949367088607595,0,0,0.00632911392405063,0.00632911392405063,0.00949367088607595
"2002_BEF.FBL.043",0,0,0,0,0,0.00183150183150183,0.0347985347985348,0.010989010989011,0,0,0,0
"2002_BEF.FBL.044",0.0163265306122449,0.00204081632653061,0,0,0,0.00204081632653061,0.0204081632653061,0.00612244897959184,0,0.00408163265306122,0.00612244897959184,0.0224489795918367
"2002_BEF.FBL.045",0,0,0,0,0.00490196078431373,0.00490196078431373,0.00490196078431373,0.00490196078431373,0,0,0,0.00980392156862745
"2002_BEF.FBL.046",0.00545596258768511,0.000779423226812159,0,0,0.000779423226812159,0.00155884645362432,0.0109119251753702,0.00389711613406079,0.00233826968043648,0.00545596258768511,0.00155884645362432,0.00623538581449727
"2002_BEF.FBL.047",0.00874125874125874,0,0,0,0.0034965034965035,0.00874125874125874,0.0104895104895105,0.00174825174825175,0,0.0034965034965035,0.0034965034965035,0
