"","BB_1","BB_2","CC_1","CC_2","CS_1","CS_2","LT_1","LT_2","MM_1","MM_2","PS_1","PS_2","RS_1","RS_2","RWF_2","SMB_1","SMB_2","SS_1","SS_2","WS_1","WS_2"
"1998_BEF.LML.1998.001",0,0.00161194063499439,0,0,0,0,0,0,0,0,0.0025707134058477,0.0131399964805337,0,0,0,0,0.0571585820182824,0,0,0,0.00208173929271251
"1998_BEF.LML.1998.001A",0,0,0,0,0,0,0,0,0,0,0,0.001388246182323,0,0,0,0.000462748727441,0.018047200370199,0,0,0,0.000925497454881999
"1998_BEF.LML.1998.002",0,0,0,0,0,0,0,0,0,0,0.000998003992015968,0,0,0,0,0,0.00753946652150245,0,0,0,0
"1998_BEF.LML.1998.002A",0,0,0,0,0,0,0,0,0,0,0.000288766965059197,0.000577533930118394,0,0,0,0,0.00981807681201271,0,0,0,0.000577533930118394
"1998_BEF.LML.1998.003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147783251231527,0.00403932289651734,0,0,0,0
"1998_BEF.LML.1998.004",0,0.000621310966138552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000621310966138552,0.00793952729641327,0,0,0,0.000310655483069276
"1998_BEF.LML.1998.005",0,0.00304042360117126,0,0,0,0,0,0,0,0,0.00207684319833853,0.00415368639667705,0,0,0,0,0.0151646974076881,0,0,0,0
"1998_BEF.LML.1998.006",0,0.00210970464135021,0,0.000527426160337553,0,0,0,0,0.000527426160337553,0.00252069811369768,0.00586199154633743,0.0108430839911084,0,0,0,0.00134802147927962,0.0387447164608916,0,0,0,0.00134802147927962
"1998_BEF.LML.1998.007",0,0,0,0,0,0,0,0,0.000284656988329063,0.000823740546280546,0.00167771151126774,0.00602061039358624,0,0,0,0.00332519260382883,0.031362601596074,0.000284656988329063,0.000284656988329063,0,0.000539083557951483
"1998_BEF.LML.1998.008",0,0.00146587564714704,0,0,0,0,0,0,0,0.000732332478945441,0.000732332478945441,0.000732332478945441,0,0,0,0,0.0212957549737132,0,0,0,0
"1998_BEF.LML.1998.009",0,0,0,0,0,0,0,0,0,0,0.00993675396401211,0.0156435952253697,0,0,0,0.00213789417423838,0.0449937644753251,0,0,0,0
"1998_BEF.LML.1998.010",0,0,0.000137551581843191,0,0,0,0,0,0,0,0.000275103163686382,0.00165412251078097,0,0,0,0.000137551581843191,0.0129578769225614,0,0.000137551581843191,0,0.000550206327372765
"1998_BEF.LML.1998.011",0,0,0,0,0,0,0,0,0,0,0.000529941706412295,0.00132485426603074,0,0,0,0,0.0211976682564918,0,0,0,0.000264970853206147
"1998_BEF.LML.1998.012",0,0.000778008298755187,0.000259336099585062,0,0.000220653133274493,0,0,0,0,0,0.00095997846571911,0.00539593046038681,0,0,0,0.000441306266548985,0.0166835742511527,0,0,0.000259336099585062,0.000739325332444617
"1998_BEF.LML.1998.013",0,0.00107906327210227,0,0,0.00579654098184553,0,0,0,0,0,0.00314802878934365,0.00492856375550543,0,0,0,0.00155763239875389,0.0220388870985068,0,0,0,0
"1998_BEF.LML.1998.014",0,0.000454545454545455,0.000454545454545455,0,0.000454545454545455,0,0,0,0,0,0.00328950409021583,0.00207237602255396,0,0,0,0.000454545454545455,0.0101076859083977,0,0,0,0
