water,site,feature,start,end,point,density,COMMENT,MEA,csv
FBL,BEF.FBL.007,O,343,347,,5,,MEA,
FBL,BEF.FBL.007,SV,343,345,,2,,MEA,
FBL,BEF.FBL.007,FW,343,344,,3,,MEA,
FBL,BEF.FBL.007,S,343,351,,5,,MEA,
FBL,BEF.FBL.007,EV,343,345,,4,,MEA,
FBL,BEF.FBL.007,FW,344,347,,5,,MEA,
FBL,BEF.FBL.007,CW,,,346,,,MEA,
FBL,BEF.FBL.007,O,347,348,,3,,MEA,
FBL,BEF.FBL.007,CW,,,348,,,MEA,
FBL,BEF.FBL.007,O,340,355,,5,,MEA,
FBL,BEF.FBL.007,SV,349,350,,2,,MEA,
FBL,BEF.FBL.007,SC,351,356,,3,,MEA,
FBL,BEF.FBL.007,SV,351,352,,2,,MEA,
FBL,BEF.FBL.007,SV,353,354,,1,,MEA,
FBL,BEF.FBL.007,FW,355,364,,1,,MEA,
FBL,BEF.FBL.007,SV,355,357,,2,,MEA,
FBL,BEF.FBL.007,O,355,357,,2,,MEA,
FBL,BEF.FBL.007,S,356,359,,5,,MEA,
FBL,BEF.FBL.007,O,357,364,,4,,MEA,
FBL,BEF.FBL.007,SV,357,364,,4,,MEA,
FBL,BEF.FBL.007,EV,358,360,,1,,MEA,
FBL,BEF.FBL.007,SC,359,364,,2,,MEA,
FBL,BEF.FBL.007,EV,361,364,,2,,MEA,
FBL,BEF.FBL.007,CW,,,362,,,MEA,
FBL,BEF.FBL.007,CW,,,363,,,MEA,
FBL,BEF.FBL.006,B,308,319,,,"HUGE, COVERS WHOLE FLOOR",MEA,
FBL,BEF.FBL.006,CW,,,308,,,MEA,
FBL,BEF.FBL.006,FW,308,309,,5,,MEA,
FBL,BEF.FBL.006,CW,,,309,,,MEA,
FBL,BEF.FBL.006,CW,,,310,,,MEA,
FBL,BEF.FBL.006,FW,313,317,,2,,MEA,
FBL,BEF.FBL.006,CW,,,317,,,MEA,
FBL,BEF.FBL.006,CW,,,318,,,MEA,
FBL,BEF.FBL.006,CW,,,319,,,MEA,
FBL,BEF.FBL.006,CW,,,320,,,MEA,
FBL,BEF.FBL.006,CW,,,321,,,MEA,
FBL,BEF.FBL.006,CW,,,322,,,MEA,
FBL,BEF.FBL.006,FW,317,319,,4,,MEA,
FBL,BEF.FBL.006,SC,319,320,,3,,MEA,
FBL,BEF.FBL.006,SC,320,323,,2,,MEA,
FBL,BEF.FBL.006,FW,320,325,,2,,MEA,
FBL,BEF.FBL.006,O,319,325,,2,,MEA,
FBL,BEF.FBL.006,S,323,325,,,,MEA,
FBL,BEF.FBL.006,CW,,,324,,,MEA,
FBL,BEF.FBL.006,B,325,331,,5,,MEA,
FBL,BEF.FBL.006,CW,,,326,,,MEA,
FBL,BEF.FBL.006,CW,,,327,,,MEA,
FBL,BEF.FBL.006,CW,,,328,,,MEA,
FBL,BEF.FBL.006,CW,,,329,,,MEA,
FBL,BEF.FBL.006,CW,,,330,,,MEA,
FBL,BEF.FBL.006,CW,,,332,,,MEA,
FBL,BEF.FBL.006,SC,331,333,,1,,MEA,
FBL,BEF.FBL.006,O,331,336,,5,,MEA,
FBL,BEF.FBL.006,SC,333,336,,1,,MEA,
FBL,BEF.FBL.006,FW,333,335,,5,,MEA,
FBL,BEF.FBL.006,B,334,336,,,,MEA,
FBL,BEF.FBL.006,CW,,,335,,,MEA,
FBL,BEF.FBL.006,FW,335,337,,3,,MEA,
FBL,BEF.FBL.006,SC,336,337,,2,,MEA,
FBL,BEF.FBL.006,S,337,338,,5,,MEA,
FBL,BEF.FBL.006,FW,337,341,,1,,MEA,
FBL,BEF.FBL.006,SC,338,339,,1,,MEA,
FBL,BEF.FBL.006,S,339,343,,5,,MEA,
FBL,BEF.FBL.006,SV,340,343,,,,MEA,
FBL,BEF.FBL.006,FW,341,343,,4,,MEA,
FBL,BEF.FBL.006,CW,,,342,,,MEA,
FBL,BEF.FBL.008,SV,364,365,,4,,MEA,
FBL,BEF.FBL.008,O,364,365,,5,,MEA,
FBL,BEF.FBL.008,SC,364,365,,2,,MEA,
FBL,BEF.FBL.008,FW,364,376,,1,,MEA,
FBL,BEF.FBL.008,SC,365,366,,4,,MEA,
FBL,BEF.FBL.008,SV,365,366,,2,,MEA,
FBL,BEF.FBL.008,B,366,367,,5,,MEA,
FBL,BEF.FBL.008,SC,367,369,,4,,MEA,
FBL,BEF.FBL.008,SV,,,367,1,,MEA,
FBL,BEF.FBL.008,SV,368,376,,2,,MEA,
FBL,BEF.FBL.008,SC,369,370,,2,,MEA,
FBL,BEF.FBL.008,SC,370,371,,4,,MEA,
FBL,BEF.FBL.008,SC,371,372,,3,,MEA,
FBL,BEF.FBL.008,SC,372,373,,2,,MEA,
FBL,BEF.FBL.008,SC,373,375,,1,,MEA,
FBL,BEF.FBL.008,CW,,,374,,,MEA,
FBL,BEF.FBL.008,S,375,376,,,,MEA,
FBL,BEF.FBL.008,O,375,376,,4,,MEA,
FBL,BEF.FBL.003,O,261,267,,5,,MEA,
FBL,BEF.FBL.003,SC,261,262,,1,,MEA,
FBL,BEF.FBL.003,SV,261,266,,1,,MEA,
FBL,BEF.FBL.003,FW,261,262,,1,,MEA,
FBL,BEF.FBL.003,FW,262,274,,2,,MEA,
FBL,BEF.FBL.003,SC,262,274,,3,,MEA,
FBL,BEF.FBL.003,CW,,,263,,,MEA,
FBL,BEF.FBL.003,CW,,,264,,,MEA,
FBL,BEF.FBL.003,CW,,,265,,,MEA,
FBL,BEF.FBL.003,SV,266,267,,2,,MEA,
FBL,BEF.FBL.003,O,267,276,,4,,MEA,
FBL,BEF.FBL.003,CW,,,,268,,MEA,
FBL,BEF.FBL.003,SV,269,274,,1,,MEA,
FBL,BEF.FBL.003,CW,,,271,,,MEA,
FBL,BEF.FBL.003,CW,,,272,,,MEA,
FBL,BEF.FBL.003,CW,,,273,,,MEA,
FBL,BEF.FBL.003,CW,,,275,,,MEA,
FBL,BEF.FBL.003,FW,274,276,,1,,MEA,
FBL,BEF.FBL.003,S,274,276,,5,,MEA,
FBL,BEF.FBL.002,S,240,243,,1,,MEA,
FBL,BEF.FBL.002,O,2540,242,,4,,MEA,
FBL,BEF.FBL.002,FW,240,249,,1,,MEA,
FBL,BEF.FBL.002,EV,240,243,,1,,MEA,
FBL,BEF.FBL.002,B,,,241,,"ENTERED IN AS ""B (2)""",MEA,
FBL,BEF.FBL.002,O,242,246,,2,,MEA,
FBL,BEF.FBL.002,SC,243,246,,2,,MEA,
FBL,BEF.FBL.002,SV,,,244,,,MEA,
FBL,BEF.FBL.002,SV,245,246,,2,,MEA,
FBL,BEF.FBL.002,O,246,247,,5,,MEA,
FBL,BEF.FBL.002,S,246,254,,,,MEA,
FBL,BEF.FBL.002,B,,,248,,,MEA,
FBL,BEF.FBL.002,FW,249,261,,3,,MEA,
FBL,BEF.FBL.002,B,,,256,,,MEA,
FBL,BEF.FBL.002,SV,251,252,,,,MEA,
FBL,BEF.FBL.002,CW,,,252,,,MEA,
FBL,BEF.FBL.002,CW,,,253,,,MEA,
FBL,BEF.FBL.002,O,252,261,,5,,MEA,
FBL,BEF.FBL.002,SC,254,255,,2,,MEA,
FBL,BEF.FBL.002,SC,256,261,,1,,MEA,
FBL,BEF.FBL.002,S,255,256,,1,,MEA,
FBL,BEF.FBL.002,CW,,,257,,,MEA,
FBL,BEF.FBL.002,CW,,,258,,,MEA,
FBL,BEF.FBL.002,CW,,,260,,,MEA,
FBL,BEF.FBL.005,O,293,296,,1,,MEA,
FBL,BEF.FBL.005,SC,293,296,,3,,MEA,
